experiment_time_s,latitude,longitude,height_m,speed_m_s,horizontal_accuracy_m
285.515,37.52203405,127.01335250,16.16,4.328,8.00
286.515,37.52206853,127.01337760,16.08,4.290,8.00
287.515,37.52209877,127.01340430,16.03,4.034,8.00
288.515,37.52213063,127.01343380,15.87,4.290,8.00
289.515,37.52216176,127.01346060,15.79,4.187,8.00
290.515,37.52219003,127.01348690,15.68,4.021,8.00
291.515,37.52221874,127.01351620,15.56,4.028,8.00
292.515,37.52224956,127.01354820,15.21,4.038,8.00
293.515,37.52227758,127.01357780,14.84,4.118,8.00
294.515,37.52230291,127.01360320,14.86,3.885,8.00
295.515,37.52233435,127.01363350,14.74,4.002,8.00
296.515,37.52236149,127.01366040,14.80,4.077,8.10
297.515,37.52238921,127.01368360,14.49,3.996,8.09
298.515,37.52242070,127.01370500,14.40,4.260,8.09
299.515,37.52245731,127.01373280,14.53,4.566,8.08
300.515,37.52248657,127.01375520,14.71,4.596,8.08
301.515,37.52253557,127.01379250,14.42,5.261,8.07
302.515,37.52257305,127.01382780,14.27,5.400,8.07
303.515,37.52261522,127.01386310,14.33,5.847,8.07
304.515,37.52266709,127.01390050,14.09,6.344,8.06
305.515,37.52270883,127.01392980,14.31,6.365,8.12
306.515,37.52273862,127.01396210,14.63,6.256,8.11
307.515,37.52276144,127.01399020,15.10,5.946,8.11
308.515,37.52282428,127.01400820,14.44,6.090,8.10
309.515,37.52284676,127.01403440,14.68,5.533,8.09
310.515,37.52289930,127.01407450,14.35,5.824,8.08
311.515,37.52291823,127.01410360,14.11,5.437,8.08
312.515,37.52295518,127.01414420,14.52,5.414,8.08
313.515,37.52299612,127.01418220,14.65,5.335,8.08
314.515,37.52302752,127.01421020,14.72,4.995,8.07
315.515,37.52306582,127.01423960,14.60,4.990,8.06
316.515,37.52310215,127.01426850,14.69,4.881,8.06
317.515,37.52314212,127.01429710,14.79,4.998,8.06
318.515,37.52317716,127.01431810,14.73,5.039,8.05
319.515,37.52321797,127.01435530,14.66,5.252,8.05
320.515,37.52326225,127.01438860,14.76,5.431,8.07
321.515,37.52330256,127.01441700,14.50,5.488,8.19
322.515,37.52332228,127.01443960,14.47,5.281,8.18
323.515,37.52333253,127.01449040,14.84,4.592,8.17
324.515,37.52335096,127.01454590,15.49,4.452,8.18
325.515,37.52338305,127.01457230,15.41,4.421,8.18
326.515,37.52341190,127.01460510,15.25,4.315,8.17
327.515,37.52345491,127.01463300,14.89,4.465,8.29
328.515,37.52349652,127.01466250,15.06,4.616,8.28
329.515,37.52354043,127.01471850,14.02,4.724,8.69
330.515,37.52356249,127.01474480,13.69,4.363,9.44
331.515,37.52358435,127.01476840,13.95,4.190,10.14
332.515,37.52361311,127.01479150,13.78,4.097,10.16
333.515,37.52364395,127.01485240,14.89,4.136,10.91
334.515,37.52366459,127.01488480,15.10,3.906,11.14
335.515,37.52368426,127.01491410,15.08,3.711,11.09
336.515,37.52369389,127.01492690,15.27,3.225,11.15
337.515,37.52371896,127.01494630,14.94,3.038,11.25
338.515,37.52375303,127.01497580,15.32,2.857,11.05
339.515,37.52377186,127.01500080,15.53,2.503,11.07
340.515,37.52379437,127.01501970,15.66,2.187,11.04
341.515,37.52382348,127.01503570,15.17,2.210,11.12
342.515,37.52385626,127.01505500,14.59,2.152,11.46
343.515,37.52387842,127.01506040,14.26,1.832,12.10
344.515,37.52389506,127.01506300,14.02,1.518,12.37
345.515,37.52389952,127.01506720,14.02,1.080,13.12
346.515,37.52391640,127.01509440,13.54,1.242,13.05
347.515,37.52395519,127.01513150,13.35,1.678,13.19
348.515,37.52399912,127.01515320,14.12,2.334,12.93
349.515,37.52399924,127.01518920,14.56,2.208,13.35
350.515,37.52403241,127.01519820,13.78,2.395,13.47
351.515,37.52407930,127.01520840,13.82,2.955,13.20
352.515,37.52412466,127.01521200,15.03,3.449,12.95
353.515,37.52416786,127.01522700,16.14,3.759,12.70
354.515,37.52420124,127.01524910,17.56,3.745,12.46
355.515,37.52423646,127.01526690,17.79,3.465,12.24
356.515,37.52425967,127.01529020,18.22,3.383,12.03
357.515,37.52428555,127.01531250,18.82,3.582,11.83
358.515,37.52430863,127.01533030,19.24,3.349,11.64
359.515,37.52433513,127.01535060,18.91,3.268,11.45
360.515,37.52435973,127.01536390,18.71,2.913,11.28
361.515,37.52438028,127.01536770,18.67,2.476,11.12
362.515,37.52440635,127.01537740,18.06,2.154,11.15
363.515,37.52443163,127.01539010,17.78,2.220,11.57
364.515,37.52445622,127.01540070,17.47,2.492,12.16
365.515,37.52447582,127.01540630,17.04,2.364,12.20
